"","Body_Shape","Schooling","Shoaling","Solitary","Trophic_Level","Reproductive_Mode","Spawn_Agg","Max_TL_cm"
"Abudefduf.septemfasciatus","Short/Deep","0","0","0",-0.30713013182477,"Dioecism","0",-0.273391893269143
"Abudefduf.sexfasciatus","Short/Deep","0","0","0",-0.791997605326727,"Dioecism","0",-0.394416389295204
"Acanthurus.nigricans","Short/Deep","0","0","0",-1.88685964226663,"Dioecism","0",0.141130557395373
"Acanthurus.nigricauda","Short/Deep","0","0","0",-0.338411904308767,"Dioecism","0",0.492266324511689
"Acanthurus.nigroris","Short/Deep","0","0","0",-1.88685964226663,"Dioecism","0",-0.212879645256112
"Acanthurus.olivaceus","Short/Deep","0","0","0",-1.48019659997467,"Dioecism","1",0.0896815948090427
"Acanthurus.pyroferus","Short/Deep","0","0","0",-1.88685964226663,"Dioecism","0",-0.0918551492300499
"Acanthurus.thompsoni","Short/Deep","0","0","0",0.678245701421143,"Dioecism","0",-0.152367397243081
"Acanthurus.triostegus","Short/Deep","1","0","1",-0.666870515390738,"Dioecism","1",-0.152367397243081
"Amblygobius.nocturnus","Fusiform","0","0","0",-0.322771018066768,"Dioecism","0",-0.660887436446631
"Anampses.caeruleopunctatus","Fusiform","0","0","0",0.255941772887181,"Dioecism","0",0.301474462854651
"Anampses.twistii","Fusiform","0","0","0",0.459273294033163,"Dioecism","0",-0.42467251330172
"Aphareus.furca","Fusiform","0","0","0",1.46029001352107,"Dioecism","0",1.14864593503708
"Asterropteryx.semipunctata","Elongated","0","0","0",-1.32378773755468,"Dioecism","0",-0.772617939376647
"Aulostomus.chinensis","Elongated","0","0","1",1.61669887594106,"Dioecism","0",1.45120717510224
"Balistoides.viridescens","Short/Deep","0","0","0",0.193378227919186,"Dioecism","0",1.29992655506966
"Bodianus.axillaris","Fusiform","0","0","0",0.334146204097173,"Dioecism","0",-0.352760069218727
"Calotomus.carolinus","Fusiform","0","0","0",-1.88685964226663,"Protogyny","0",0.664547950932836
"Canthigaster.bennetti","Short/Deep","0","0","0",-1.0422517851987,"Dioecism","0",-0.666721505353843
"Canthigaster.solandri","Short/Deep","0","0","0",0.553118611485154,"Dioecism","0",-0.603183633398366
"Canthigaster.valentini","Short/Deep","0","0","0",-0.573025197938747,"Dioecism","0",-0.636465381347328
"Caracanthus.maculatus","Short/Deep","0","0","0",0.14645556919319,"Dioecism","0",-0.81800212538642
"Caracanthus.unipinna","Short/Deep","0","0","0",0.615682156453149,"Protogyny","0",-0.81800212538642
"Caranx.melampygus","Fusiform","1","0","0",1.67926242090906,"Dioecism","1",2.59897074376614
"Cephalopholis.argus","Fusiform","0","0","0",1.49157178600507,"Protogyny","1",0.846084694971929
"Cephalopholis.urodeta","Fusiform","0","0","0",1.27259937861709,"Protogyny","1",-0.122111273236565
"Chaetodon.auriga","Short/Deep","0","0","0",0.474914180275161,"Dioecism","0",-0.212879645256112
"Chaetodon.citrinellus","Short/Deep","0","0","0",-0.354052790550766,"Dioecism","0",-0.575953133334297
"Chaetodon.ephippium","Short/Deep","0","0","0",-0.30713013182477,"Dioecism","0",-0.0615990252235345
"Chaetodon.lunula","Short/Deep","0","0","0",-0.338411904308767,"Dioecism","0",-0.364160265288689
"Chaetodon.lunulatus","Short/Deep","0","0","0",0.209019114161184,"Dioecism","0",-0.161444211361443
"Chaetodon.ornatissimus","Short/Deep","0","0","1",0.209019114161184,"Dioecism","0",-0.364160265288689
"Chaetodon.pelewensis","Short/Deep","0","0","0",-0.447898108002758,"Dioecism","0",-0.591081195337555
"Chaetodon.quadrimaculatus","Short/Deep","0","0","0",0.537477725243155,"Dioecism","0",-0.485184761314751
"Chaetodon.reticulatus","Short/Deep","0","0","0",-0.901483809020718,"Dioecism","0",-0.42467251330172
"Chaetodon.trifascialis","Short/Deep","0","0","0",0.209019114161184,"Dioecism","0",-0.42467251330172
"Chaetodon.ulietensis","Short/Deep","0","0","0",-0.776356719084728,"Dioecism","0",-0.515440885321266
"Chaetodon.unimaculatus","Short/Deep","0","0","0",0.00568759301520252,"Dioecism","0",-0.364160265288689
"Chaetodon.vagabundus","Short/Deep","0","0","0",0.240300886645182,"Dioecism","0",-0.273391893269143
"Cheilinus.chlorourus","Fusiform","0","0","0",0.396709749065168,"Dioecism","0",0.392242834874197
"Cheilinus.oxycephalus","Fusiform","0","0","0",0.302864431613176,"Dioecism","0",-0.454928637308235
"Cheilinus.trilobatus","Short/Deep","0","0","0",1.1161906355276,"Dioecism","1",0.392242834874197
"Cheilodipterus.quinquelineatus","Fusiform","0","0","0",0.459273294033163,"Dioecism","0",-0.575953133334297
"Chlorurus.microrhinos","Fusiform","0","0","0",-1.88685964226663,"Dioecism","1",1.14864593503708
"Chromis.atripectoralis","Short/Deep","0","0","0",-0.228925700614777,"Dioecism","0",-0.606209257340812
"Chromis.viridis","Short/Deep","0","0","0",-1.1048153301667,"Dioecism","0",-0.666721505353843
"Chromis.xanthura","Short/Deep","0","0","0",0.302864431613176,"Dioecism","0",-0.454928637308235
"Chrysiptera.brownriggii","Fusiform","0","0","0",-0.666870515390738,"Dioecism","0",-0.727233753366874
"Cirrhilabrus.exquisitus","Fusiform","0","0","0",0.302864431613176,"Dioecism","0",-0.599291043286233
"Cirrhilabrus.scottorum","Fusiform","0","0","0",0.302864431613176,"Dioecism","0",-0.575953133334297
"Cirripectes.variolosus","Fusiform","0","0","0",-1.88685964226663,"Dioecism","0",-0.695816399705316
"Coris.aygula","Fusiform","0","0","0",0.819013707431759,"Dioecism","1",2.66145213536285
"Coris.gaimard","Fusiform","0","0","0",0.302864431613176,"Dioecism","0",0.24096221484162
"Corythoichthys.flavofasciatus","Eel-Like","0","0","0",1.1787540611651,"Dioecism","0",-0.606209257340812
"Ctenochaetus.binotatus","Short/Deep","0","0","0",-1.88685964226663,"Dioecism","0",-0.303648017275658
"Dascyllus.aruanus","Short/Deep","0","0","0",0.224659851240071,"Protogyny","0",-0.666721505353843
"Dascyllus.flavicaudus","Short/Deep","0","0","0",-0.322771018066768,"Dioecism","0",-0.606209257340812
"Dascyllus.trimaculatus","Short/Deep","0","0","0",-0.338411904308767,"Dioecism","0",-0.545697009327782
"Diodon.hystrix","Short/Deep","0","0","1",0.631323042695147,"Dioecism","0",1.78402453917391
"Epibulus.insidiator","Short/Deep","0","0","0",1.25695849237509,"Protogyny","1",0.721306031171821
"Epinephelus.merra","Fusiform","0","0","0",1.83567128332904,"Protogyny","1",0.135065780818816
"Fistularia.commersonii","Elongated","1","0","0",1.72618507963505,"Dioecism","0",3.87169709562347
"Forcipiger.flavissimus","Short/Deep","0","0","0",0.271582838124921,"Dioecism","0",-0.303648017275658
"Fusigobius.neophytus","Fusiform","0","0","0",-0.494820766728753,"Protogyny","0",-0.742361815370132
"Gnatholepis.anjerensis","Fusiform","0","0","0",0.302864431613176,"Dioecism","0",-0.709780583688188
"Gomphosus.varius","Fusiform","0","0","0",0.740809246389138,"Dioecism","1",-0.0512082885533005
