"Abudefduf.septemfasciatus","Abudefduf.sexfasciatus","Acanthurus.nigricans","Acanthurus.nigricauda","Acanthurus.nigroris","Acanthurus.olivaceus","Acanthurus.pyroferus","Acanthurus.thompsoni","Acanthurus.triostegus","Amblygobius.nocturnus","Anampses.caeruleopunctatus","Anampses.twistii","Aphareus.furca","Asterropteryx.semipunctata","Aulostomus.chinensis","Balistoides.viridescens","Bodianus.axillaris","Calotomus.carolinus","Canthigaster.bennetti","Canthigaster.solandri","Canthigaster.valentini","Caracanthus.maculatus","Caracanthus.unipinna","Caranx.melampygus","Cephalopholis.argus","Cephalopholis.urodeta","Chaetodon.auriga","Chaetodon.citrinellus","Chaetodon.ephippium","Chaetodon.lunula","Chaetodon.lunulatus","Chaetodon.ornatissimus","Chaetodon.pelewensis","Chaetodon.quadrimaculatus","Chaetodon.reticulatus","Chaetodon.trifascialis","Chaetodon.ulietensis","Chaetodon.unimaculatus","Chaetodon.vagabundus","Cheilinus.chlorourus","Cheilinus.oxycephalus","Cheilinus.trilobatus","Cheilodipterus.quinquelineatus","Chlorurus.microrhinos","Chromis.atripectoralis","Chromis.viridis","Chromis.xanthura","Chrysiptera.brownriggii","Cirrhilabrus.exquisitus","Cirrhilabrus.scottorum","Cirripectes.variolosus","Coris.aygula","Coris.gaimard","Corythoichthys.flavofasciatus","Ctenochaetus.binotatus","Dascyllus.aruanus","Dascyllus.flavicaudus","Dascyllus.trimaculatus","Diodon.hystrix","Epibulus.insidiator","Epinephelus.merra","Fistularia.commersonii","Forcipiger.flavissimus","Fusigobius.neophytus","Gnatholepis.anjerensis","Gomphosus.varius","Gymnothorax.javanicus","Halichoeres.hortulanus","Halichoeres.margaritaceus","Halichoeres.marginatus","Halichoeres.trimaculatus","Hemigymnus.fasciatus","Heniochus.chrysostomus","Hologymnosus.annulatus","Labroides.bicolor","Labroides.dimidiatus","Lepidozygus.tapeinosoma","Lethrinus.olivaceus","Lutjanus.fulvus","Macropharyngodon.meleagris","Melichthys.niger","Melichthys.vidua","Monotaxis.grandoculis","Mulloidichthys.flavolineatus","Mulloidichthys.vanicolensis","Myripristis.amaena","Myripristis.berndti","Myripristis.kuntee","Myripristis.violacea","Naso.lituratus","Naso.unicornis","Nemateleotris.magnifica","Neocirrhites.armatus","Neoniphon.sammara","Novaculichthys.taeniourus","Odonus.niger","Ostracion.meleagris","Oxycheilinus.unifasciatus","Paracirrhites.arcatus","Paracirrhites.forsteri","Parupeneus.ciliatus","Parupeneus.cyclostomus","Parupeneus.insularis","Parupeneus.pleurostigma","Plagiotremus.tapeinosoma","Plectroglyphidodon.johnstonianus","Pomacentrus.pavo","Pomachromis.fuscidorsalis","Pseudocheilinus.evanidus","Pseudocheilinus.hexataenia","Pseudocheilinus.octotaenia","Pseudocheilinus.tetrataenia","Pseudojuloides.atavai","Pycnochromis.acares","Pycnochromis.iomelas","Pycnochromis.margaritifer","Pycnochromis.vanderbilti","Pygoplites.diacanthus","Rhinecanthus.aculeatus","Sargocentron.microstoma","Sargocentron.spiniferum","Scarus.altipinnis","Scarus.forsteni","Scarus.frenatus","Scarus.globiceps","Scarus.niger","Scarus.oviceps","Scarus.rubroviolaceus","Scarus.schlegeli","Siganus.argenteus","Siganus.spinus","Stegastes.nigricans","Stegastes.punctatus","Stethojulis.bandanensis","Sufflamen.bursa","Synodus.binotatus","Thalassoma.amblycephalum","Thalassoma.hardwicke","Thalassoma.lutescens","Thalassoma.quinquevittatum","Valenciennea.strigata","Zanclus.cornutus","Zebrasoma.velifer"
4,25,2,0,0,0,0,0,129,0,0,1,0,0,0,0,0,0,0,1,0,14,0,0,1,0,0,19,0,0,0,5,0,0,6,0,0,3,0,5,0,4,0,0,0,1,0,13,0,0,0,2,0,0,1,0,7,0,1,0,2,2,3,0,4,6,0,16,5,0,3,0,1,0,0,0,0,0,0,0,0,3,2,1,3,0,0,0,0,33,0,0,5,0,0,0,0,0,15,0,0,2,0,1,0,1,0,0,0,6,0,0,2,0,1,5,0,1,0,2,0,0,0,0,0,0,3,0,0,2,7,17,4,7,0,0,0,63,0,1,0,7,0
5,42,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,19,0,0,6,14,0,0,3,1,0,3,4,0,0,4,0,0,13,18,0,114,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,11,0,23,20,1,11,0,1,0,0,3,0,0,0,0,0,4,0,0,0,0,1,0,0,13,0,0,1,1,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,30,4,10,0,0,3,99,0,0,0,5,0
0,23,0,0,0,4,0,0,1551,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,13,0,2,11,3,0,0,4,0,0,5,1,2,0,1,0,0,6,12,0,59,0,0,0,4,2,0,0,0,4,0,0,0,3,0,0,0,0,20,0,22,11,5,6,0,2,0,9,1,0,0,0,0,0,2,0,0,3,0,0,0,0,6,0,0,1,0,2,0,0,0,4,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0,1,2,1,0,1,0,0,6,0,0,0,3,11,4,15,0,0,0,95,1,4,0,3,0
2,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,3,0,0,11,2,0,4,5,0,0,5,0,0,6,2,3,0,5,0,0,26,9,0,83,0,0,0,5,1,0,5,0,8,0,0,1,1,0,0,0,0,23,0,24,17,4,16,1,5,0,1,3,0,0,0,0,0,7,0,13,4,0,1,0,0,12,0,0,0,0,1,0,0,0,7,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,24,6,11,15,14,0,0,0,79,2,3,0,5,3
2,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,7,0,3,0,0,1,0,0,11,1,0,9,3,0,0,1,1,0,1,1,0,0,3,0,0,1,20,0,93,0,0,0,2,0,0,0,0,1,5,0,2,1,0,3,0,0,18,0,21,6,4,1,0,6,0,3,5,0,0,0,0,0,4,0,0,1,2,0,0,0,1,0,0,2,1,0,0,1,0,10,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,18,0,0,0,1,1,0,0,0,0,0,6,0,0,0,3,24,0,12,0,0,0,69,0,3,0,1,1
5,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,12,0,0,4,4,0,0,6,0,0,1,3,1,0,1,0,0,0,16,0,60,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,0,0,12,0,18,10,8,0,0,2,0,1,1,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,17,0,3,0,2,0,0,0,1,0,0,0,0,0,0,2,5,41,11,0,0,0,68,0,0,0,4,0
7,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,14,0,0,0,0,0,0,0,11,0,1,1,7,0,0,2,0,0,1,4,2,0,5,0,1,16,0,0,108,0,0,0,1,6,0,0,0,0,1,0,0,1,0,4,0,0,17,1,25,6,7,11,0,3,0,1,5,0,0,1,0,0,2,4,9,2,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,1,0,0,0,2,0,0,9,31,8,37,0,0,0,114,0,6,0,0,0
1,16,0,0,0,0,2,0,127,0,0,0,0,0,0,0,3,0,0,17,0,1,0,0,0,0,0,8,0,0,3,3,0,0,3,0,0,0,2,1,0,2,0,0,1,3,0,65,0,0,0,7,0,0,0,0,0,0,0,3,1,0,1,1,0,26,0,32,21,9,6,0,4,0,3,5,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,1,40,0,1,0,0,0,0,0,1,0,0,1,9,0,0,4,31,1,28,0,0,6,124,0,7,0,3,0
8,27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,6,0,0,3,0,0,0,0,12,2,0,6,5,0,0,3,0,0,0,3,1,0,1,0,22,2,0,0,33,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,15,0,43,8,8,5,0,3,0,1,2,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5,0,0,0,4,1,3,0,0,0,0,3,0,0,0,0,0,24,0,2,0,0,0,0,0,6,0,2,9,0,0,0,17,20,0,28,0,0,8,125,0,1,1,2,0
5,21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,10,0,0,0,1,0,0,3,0,0,0,7,4,0,4,0,0,0,6,0,48,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,17,0,32,12,5,1,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,23,0,1,0,1,1,0,0,3,0,0,14,0,1,0,16,31,0,19,0,0,0,78,0,2,0,3,0
