"Species","AUC_Explanatory","AUC_Predictive_5CV","TjurR2_Explanatory","TjurR2_Predictive_5CV"
"Abudefduf septemfasciatus",0.95,0.929,0.5,0.447
"Abudefduf sexfasciatus",0.919,0.893,0.482,0.438
"Acanthurus nigricans",0.878,0.846,0.423,0.394
"Acanthurus nigricauda",0.822,0.783,0.263,0.219
"Acanthurus nigroris",0.931,0.908,0.53,0.497
"Acanthurus olivaceus",0.926,0.897,0.613,0.586
"Acanthurus pyroferus",0.888,0.866,0.425,0.401
"Acanthurus thompsoni",0.909,0.835,0.285,0.189
"Acanthurus triostegus",0.921,0.895,0.524,0.493
"Amblygobius nocturnus",0.982,0.966,0.618,0.512
"Anampses caeruleopunctatus",0.914,0.866,0.372,0.301
"Anampses twistii",0.838,0.79,0.238,0.193
"Aphareus furca",0.947,0.925,0.53,0.5
"Asterropteryx semipunctata",0.938,0.891,0.402,0.325
"Aulostomus chinensis",0.825,0.766,0.271,0.213
"Balistoides viridescens",0.866,0.805,0.231,0.187
"Bodianus axillaris",0.897,0.848,0.331,0.258
"Calotomus carolinus",0.915,0.859,0.325,0.246
"Canthigaster bennetti",0.871,0.815,0.23,0.182
"Canthigaster solandri",0.898,0.86,0.444,0.399
"Canthigaster valentini",0.949,0.927,0.582,0.548
"Caracanthus maculatus",0.987,0.979,0.787,0.773
"Caracanthus unipinna",0.951,0.911,0.415,0.336
"Caranx melampygus",0.759,0.654,0.114,0.064
"Cephalopholis argus",0.907,0.865,0.426,0.385
"Cephalopholis urodeta",0.997,0.978,0.932,0.924
"Chaetodon auriga",0.896,0.868,0.473,0.447
"Chaetodon citrinellus",0.975,0.961,0.744,0.729
"Chaetodon ephippium",0.791,0.728,0.225,0.185
"Chaetodon lunula",0.916,0.889,0.55,0.531
"Chaetodon lunulatus",0.966,0.951,0.677,0.647
"Chaetodon ornatissimus",0.876,0.838,0.324,0.281
"Chaetodon pelewensis",0.937,0.916,0.577,0.548
"Chaetodon quadrimaculatus",0.991,0.986,0.855,0.843
"Chaetodon reticulatus",0.82,0.771,0.278,0.237
"Chaetodon trifascialis",0.838,0.784,0.183,0.135
"Chaetodon ulietensis",0.853,0.811,0.343,0.302
"Chaetodon unimaculatus",0.875,0.831,0.393,0.333
"Chaetodon vagabundus",0.912,0.888,0.528,0.502
"Cheilinus chlorourus",0.842,0.783,0.321,0.271
"Cheilinus oxycephalus",0.864,0.818,0.357,0.307
"Cheilinus trilobatus",0.813,0.753,0.245,0.194
"Cheilodipterus quinquelineatus",0.865,0.785,0.257,0.204
"Chlorurus microrhinos",0.824,0.76,0.205,0.167
"Chromis atripectoralis",0.958,0.927,0.435,0.344
"Chromis viridis",0.933,0.906,0.512,0.454
"Chromis xanthura",0.986,0.964,0.718,0.63
"Chrysiptera brownriggii",0.996,0.983,0.897,0.871
"Cirrhilabrus exquisitus",0.956,0.925,0.607,0.569
"Cirrhilabrus scottorum",0.988,0.981,0.835,0.822
"Cirripectes variolosus",0.926,0.895,0.444,0.401
"Coris aygula",0.758,0.684,0.174,0.127
"Coris gaimard",0.91,0.883,0.501,0.449
"Corythoichthys flavofasciatus",0.949,0.89,0.346,0.238
"Ctenochaetus binotatus",0.89,0.86,0.449,0.414
"Dascyllus aruanus",0.951,0.895,0.535,0.459
"Dascyllus flavicaudus",0.881,0.851,0.388,0.352
"Dascyllus trimaculatus",0.929,0.897,0.526,0.471
"Diodon hystrix",0.841,0.767,0.223,0.179
"Epibulus insidiator",0.825,0.758,0.227,0.18
"Epinephelus merra",0.927,0.895,0.569,0.536
"Fistularia commersonii",0.85,0.793,0.309,0.254
"Forcipiger flavissimus",0.855,0.82,0.332,0.282
"Fusigobius neophytus",0.909,0.859,0.511,0.472
"Gnatholepis anjerensis",0.918,0.862,0.439,0.371
"Gomphosus varius",0.928,0.872,0.464,0.406
"Gymnothorax javanicus",0.733,0.602,0.096,0.053
"Halichoeres hortulanus",0.907,0.873,0.413,0.363
"Halichoeres margaritaceus",0.923,0.88,0.398,0.327
"Halichoeres marginatus",0.846,0.789,0.353,0.298
"Halichoeres trimaculatus",0.981,0.969,0.792,0.763
"Hemigymnus fasciatus",0.918,0.879,0.491,0.446
"Heniochus chrysostomus",0.941,0.915,0.608,0.574
"Hologymnosus annulatus",0.73,0.585,0.124,0.059
"Labroides bicolor",0.913,0.886,0.477,0.433
"Labroides dimidiatus",0.892,0.827,0.319,0.248
"Lepidozygus tapeinosoma",0.962,0.936,0.553,0.489
"Lethrinus olivaceus",0.811,0.714,0.221,0.174
"Lutjanus fulvus",0.891,0.864,0.409,0.372
"Macropharyngodon meleagris",0.985,0.966,0.823,0.805
"Melichthys niger",0.972,0.948,0.608,0.541
"Melichthys vidua",0.917,0.889,0.469,0.398
"Monotaxis grandoculis",0.876,0.852,0.41,0.379
"Mulloidichthys flavolineatus",0.894,0.864,0.502,0.477
"Mulloidichthys vanicolensis",0.881,0.836,0.317,0.257
"Myripristis amaena",0.912,0.869,0.291,0.232
"Myripristis berndti",0.914,0.876,0.367,0.31
"Myripristis kuntee",0.962,0.937,0.544,0.496
"Myripristis violacea",0.96,0.945,0.493,0.46
"Naso lituratus",0.928,0.901,0.518,0.474
"Naso unicornis",0.804,0.693,0.149,0.101
"Nemateleotris magnifica",0.981,0.96,0.728,0.692
"Neocirrhites armatus",0.995,0.986,0.882,0.82
"Neoniphon sammara",0.899,0.854,0.419,0.365
"Novaculichthys taeniourus",0.872,0.821,0.302,0.246
"Odonus niger",0.992,0.979,0.799,0.773
"Ostracion meleagris",0.791,0.725,0.216,0.163
"Oxycheilinus unifasciatus",0.848,0.809,0.325,0.289
"Paracirrhites arcatus",0.975,0.963,0.723,0.695
"Paracirrhites forsteri",0.928,0.895,0.515,0.494
"Parupeneus ciliatus",0.936,0.896,0.434,0.378
"Parupeneus cyclostomus",0.692,0.584,0.092,0.037
