"Species","Covariate","ESS","PSRF_point_est","PSRF_upper_CI"
"Abudefduf.septemfasciatus","HabitatForereef",16.31,1.12,1.33
"Acanthurus.nigrofuscus","HabitatForereef",18.59,1.16,1.44
"Balistapus.undulatus","HabitatForereef",18.66,1.16,1.44
"Balistapus.undulatus","Curvature_Mean_100m",52.22,1.12,1.33
"Centropyge.flavissima","(Intercept)",120.92,1.91,3.1
"Centropyge.flavissima","HabitatForereef",7.68,1.32,2.12
"Centropyge.flavissima","HabitatFringing",42.89,1.16,1.47
"Centropyge.flavissima","Cyclone1",683.53,1.12,1.34
"Centropyge.flavissima","Cyclone2",149.14,1.13,1.37
"Centropyge.flavissima","Land_Dist",154.76,1.25,1.66
"Centropyge.flavissima","Depth_Mean_100m",25.78,1.24,1.67
"Centropyge.flavissima","Curvature_Mean_100m",11.03,1.41,2.52
"Centropyge.flavissima","Curvature_Mean_500m",164.07,1.41,2.02
"Centropyge.flavissima","Macroalgae_Mean_Cover",247.37,1.21,1.61
"Centropyge.flavissima","CTB_Mean_Cover",136.26,1.23,1.65
"Chromis.xanthura","Depth_Mean_100m",139.91,1.11,1.3
"Cirrhilabrus.scottorum","HabitatForereef",23.5,1.11,1.33
"Cirrhilabrus.scottorum","Curvature_Mean_100m",29.57,1.1,1.29
"Neocirrhites.armatus","(Intercept)",36.21,1.34,1.81
"Neocirrhites.armatus","HabitatForereef",14.23,1.28,1.71
"Neocirrhites.armatus","HabitatFringing",16.08,2.61,4.82
"Neocirrhites.armatus","Cyclone1",16.38,1.31,1.84
"Neocirrhites.armatus","Depth_Mean_100m",9.34,1.75,2.74
"Neocirrhites.armatus","Depth_Mean_500m",80.37,1.15,1.39
"Neocirrhites.armatus","Curvature_Mean_100m",10.4,1.64,2.5
"Neocirrhites.armatus","Curvature_Mean_500m",32.65,1.45,2.06
"Pycnochromis.iomelas","(Intercept)",94.93,1.1,1.29
"Pycnochromis.margaritifer","(Intercept)",67.21,1.13,1.38
"Sufflamen.bursa","HabitatForereef",10.98,1.12,1.34
"Sufflamen.bursa","Curvature_Mean_100m",20.29,1.1,1.29
"Zebrasoma.scopas","(Intercept)",129.67,1.14,1.38
"Zebrasoma.scopas","HabitatForereef",2.8,1.11,1.33
"Zebrasoma.scopas","HabitatFringing",19.19,1.12,1.34
"Zebrasoma.scopas","Depth_Mean_100m",13.73,1.12,1.32
"Zebrasoma.scopas","Curvature_Mean_100m",21.89,1.13,1.36
