"Species","Habitat type","COTS abundance","Maximum DHW","Cyclone exposure","Distance to land","Depth","Curvature","Benthic cover","Random: site","Random: year"
"Abudefduf.septemfasciatus",0.41,0,0,0,0.25,0.18,0.07,0.01,0.06,0
"Abudefduf.sexfasciatus",0.37,0,0,0,0.28,0.02,0.28,0.01,0.03,0.01
"Acanthurus.nigricans",0.54,0.01,0.01,0,0.17,0.1,0.02,0.04,0.06,0.06
"Acanthurus.nigricauda",0.26,0,0.01,0.01,0.19,0.07,0.29,0.07,0.02,0.08
"Acanthurus.nigroris",0.16,0,0.01,0,0.31,0.1,0.07,0.03,0.15,0.17
"Acanthurus.olivaceus",0.46,0.01,0.01,0.01,0.1,0.1,0.26,0.04,0.01,0.01
"Acanthurus.pyroferus",0.2,0.01,0,0.01,0.22,0.13,0.23,0.12,0.06,0.02
"Acanthurus.thompsoni",0.03,0,0,0,0.02,0.29,0.12,0.02,0.48,0.04
"Acanthurus.triostegus",0.5,0.01,0,0.01,0.03,0.18,0.14,0.01,0.09,0.03
"Amblygobius.nocturnus",0.5,0,0,0,0.06,0.29,0.06,0.01,0.01,0.07
"Anampses.caeruleopunctatus",0.28,0.01,0.01,0.01,0.17,0.17,0.07,0.14,0.02,0.13
"Anampses.twistii",0.61,0,0,0,0.04,0.08,0.12,0.02,0.03,0.09
"Aphareus.furca",0.47,0,0,0,0.16,0.21,0.04,0.02,0.08,0.01
"Asterropteryx.semipunctata",0.5,0.01,0.01,0.01,0.15,0.12,0.1,0.03,0.01,0.07
"Aulostomus.chinensis",0.25,0.01,0.01,0.01,0.16,0.21,0.04,0.1,0.05,0.16
"Balistoides.viridescens",0.28,0.01,0.02,0.01,0.24,0.09,0.07,0.07,0.06,0.14
"Bodianus.axillaris",0.4,0,0,0,0.15,0.03,0.29,0.01,0.09,0.01
"Calotomus.carolinus",0.12,0,0.03,0,0.29,0.1,0.05,0.07,0.08,0.25
"Canthigaster.bennetti",0.63,0.02,0,0.01,0.04,0.13,0.1,0.02,0.04,0.01
"Canthigaster.solandri",0.42,0.02,0.01,0.01,0.27,0.07,0.04,0.05,0.09,0.01
"Canthigaster.valentini",0.69,0,0,0,0.03,0.16,0.05,0.01,0.03,0.01
"Caracanthus.maculatus",0.43,0.01,0,0,0.09,0.38,0.04,0.04,0.01,0
"Caracanthus.unipinna",0.24,0.01,0,0.01,0.12,0.28,0.06,0.04,0.05,0.2
"Caranx.melampygus",0.25,0.01,0.01,0.02,0.07,0.1,0.08,0.05,0.09,0.32
"Cephalopholis.argus",0.42,0.01,0,0,0.03,0.06,0.38,0.06,0.03,0.01
"Cephalopholis.urodeta",0.63,0,0,0,0.04,0.21,0.08,0.03,0,0.01
"Chaetodon.auriga",0.59,0.01,0.01,0.01,0.17,0.06,0.06,0.03,0.03,0.04
"Chaetodon.citrinellus",0.63,0,0,0.01,0.03,0.19,0.04,0.08,0.01,0.01
"Chaetodon.ephippium",0.12,0.01,0.02,0.01,0.1,0.08,0.54,0.03,0.05,0.04
"Chaetodon.lunula",0.37,0,0.01,0,0.39,0.06,0.13,0.03,0.01,0
"Chaetodon.lunulatus",0.51,0,0.01,0,0.08,0.07,0.12,0.15,0.02,0.03
"Chaetodon.ornatissimus",0.15,0.01,0.03,0.01,0.06,0.06,0.12,0.46,0.1,0.02
"Chaetodon.pelewensis",0.32,0.01,0.01,0,0.15,0.27,0.12,0.11,0.01,0.01
"Chaetodon.quadrimaculatus",0.55,0,0.01,0,0.06,0.22,0.1,0.04,0.01,0
"Chaetodon.reticulatus",0.12,0.03,0.04,0,0.07,0.42,0.13,0.14,0.03,0.01
"Chaetodon.trifascialis",0.28,0.01,0.01,0,0.04,0.26,0.16,0.04,0.08,0.1
"Chaetodon.ulietensis",0.21,0,0.01,0,0.05,0.03,0.63,0.02,0.03,0.01
"Chaetodon.unimaculatus",0.07,0,0.01,0,0.03,0.1,0.13,0.11,0.47,0.07
"Chaetodon.vagabundus",0.23,0.01,0.04,0.01,0.14,0.44,0.04,0.05,0.01,0.04
"Cheilinus.chlorourus",0.48,0.01,0,0.01,0.18,0.04,0.15,0.06,0.05,0.02
"Cheilinus.oxycephalus",0.71,0.01,0,0,0.17,0.05,0.03,0.01,0.02,0.01
"Cheilinus.trilobatus",0.37,0.03,0.01,0.01,0.18,0.05,0.19,0.05,0.08,0.04
"Cheilodipterus.quinquelineatus",0.44,0.03,0,0.01,0.04,0.17,0.23,0.02,0.04,0.03
"Chlorurus.microrhinos",0.51,0.01,0.03,0.01,0.14,0.08,0.08,0.06,0.03,0.04
"Chromis.atripectoralis",0.31,0,0,0,0.04,0.07,0.08,0.03,0.46,0.01
"Chromis.viridis",0.64,0,0,0,0.04,0.13,0.1,0.02,0.07,0
"Chromis.xanthura",0.07,0,0,0,0.01,0.35,0.05,0,0.51,0
"Chrysiptera.brownriggii",0.86,0,0.01,0,0.03,0.05,0.02,0.02,0.01,0
"Cirrhilabrus.exquisitus",0.74,0,0.01,0,0.08,0.07,0.05,0.02,0.02,0.01
"Cirrhilabrus.scottorum",0.59,0,0,0,0.07,0.15,0.16,0.01,0,0
"Cirripectes.variolosus",0.24,0,0.01,0.01,0.36,0.15,0.1,0.09,0.02,0.02
"Coris.aygula",0.22,0.01,0.01,0.02,0.12,0.33,0.06,0.06,0.13,0.05
"Coris.gaimard",0.6,0,0,0,0.02,0.2,0.04,0.02,0.11,0.02
"Corythoichthys.flavofasciatus",0.23,0,0.01,0,0.19,0.45,0.1,0.01,0.01,0
"Ctenochaetus.binotatus",0.68,0.01,0.01,0.01,0.05,0.06,0.07,0.04,0.06,0.01
"Dascyllus.aruanus",0.63,0,0,0,0.05,0.2,0.05,0.03,0.03,0.01
"Dascyllus.flavicaudus",0.21,0.03,0.01,0.01,0.07,0.46,0.06,0.09,0.05,0.03
"Dascyllus.trimaculatus",0.36,0,0,0,0.02,0.37,0.17,0.02,0.04,0.01
"Diodon.hystrix",0.16,0.01,0.01,0.01,0.12,0.1,0.13,0.06,0.11,0.28
"Epibulus.insidiator",0.06,0.01,0,0.01,0.05,0.11,0.12,0.04,0.57,0.03
"Epinephelus.merra",0.66,0,0.01,0,0.09,0.07,0.06,0.02,0.03,0.06
"Fistularia.commersonii",0.33,0.01,0.01,0.02,0.06,0.16,0.18,0.06,0.07,0.11
"Forcipiger.flavissimus",0.19,0,0,0,0.24,0.12,0.21,0.05,0.04,0.14
"Fusigobius.neophytus",0.68,0.01,0,0,0.14,0.06,0.07,0.02,0.01,0.01
"Gnatholepis.anjerensis",0.54,0,0.01,0,0.21,0.07,0.13,0.01,0,0.02
"Gomphosus.varius",0.37,0.01,0.01,0,0.07,0.24,0.07,0.07,0.15,0.01
"Gymnothorax.javanicus",0.26,0.01,0.02,0.13,0.1,0.12,0.08,0.1,0.06,0.12
"Halichoeres.hortulanus",0.56,0,0,0,0.08,0.04,0.23,0.04,0.02,0.01
"Halichoeres.margaritaceus",0.54,0,0,0,0.14,0.12,0.05,0.02,0.1,0.02
"Halichoeres.marginatus",0.48,0.02,0,0,0.2,0.06,0.03,0.05,0.14,0.01
"Halichoeres.trimaculatus",0.85,0,0,0,0.02,0.04,0.03,0.01,0.05,0.01
"Hemigymnus.fasciatus",0.59,0,0,0,0.08,0.17,0.04,0.02,0.06,0.02
"Heniochus.chrysostomus",0.34,0,0.01,0,0.17,0.05,0.28,0.04,0.05,0.04
"Hologymnosus.annulatus",0.36,0.02,0,0.02,0.05,0.29,0.04,0.05,0.13,0.04
"Labroides.bicolor",0.06,0.01,0,0,0.44,0.23,0.07,0.01,0.18,0.01
"Labroides.dimidiatus",0.63,0.02,0.01,0.01,0.05,0.08,0.09,0.05,0.02,0.06
"Lepidozygus.tapeinosoma",0.12,0.01,0.01,0,0.06,0.64,0.08,0.02,0.03,0.03
"Lethrinus.olivaceus",0.14,0.03,0.02,0.01,0.28,0.12,0.13,0.09,0.04,0.15
"Lutjanus.fulvus",0.72,0,0,0,0.07,0.14,0.03,0.01,0,0.01
"Macropharyngodon.meleagris",0.65,0.01,0.01,0,0.14,0.08,0.07,0.02,0.01,0.01
"Melichthys.niger",0.6,0.01,0,0.01,0.05,0.19,0.08,0.03,0.01,0.02
"Melichthys.vidua",0.3,0.01,0,0,0.03,0.57,0.05,0.02,0.02,0
"Monotaxis.grandoculis",0.3,0,0,0,0.27,0.1,0.23,0.04,0.01,0.04
"Mulloidichthys.flavolineatus",0.51,0.01,0,0,0.03,0.34,0.07,0.03,0.01,0.01
"Mulloidichthys.vanicolensis",0.62,0.01,0,0,0.03,0.24,0.07,0.01,0.01,0.01
"Myripristis.amaena",0.57,0,0,0,0.08,0.09,0.18,0.02,0.02,0.02
"Myripristis.berndti",0.45,0,0,0,0.12,0.14,0.14,0.02,0.1,0.02
"Myripristis.kuntee",0.41,0,0,0,0.06,0.2,0.22,0.06,0.04,0.01
"Myripristis.violacea",0.52,0,0,0,0.03,0.07,0.3,0.02,0.04,0.01
"Naso.lituratus",0.62,0,0,0,0.03,0.08,0.11,0.04,0.02,0.09
"Naso.unicornis",0.28,0,0.01,0.01,0.1,0.11,0.27,0.04,0.15,0.03
"Nemateleotris.magnifica",0.78,0.01,0,0,0.06,0.04,0.03,0.05,0.02,0.01
"Neocirrhites.armatus",0.2,0,0,0,0,0.69,0.12,0,0,0
