"Species","HabitatForereef","HabitatFringing","COTS","Max_DHW","Cyclone1","Cyclone2","Cyclone3","Land_Dist","Depth_Mean_100m","Depth_Mean_500m","Curvature_Mean_100m","Curvature_Mean_500m","Coral_Mean_Cover","Macroalgae_Mean_Cover","CTB_Mean_Cover","Random: site","Random: year"
"Abudefduf.septemfasciatus",0.36,0.02,0,0,0,0,0,0.24,0.23,0.05,0.02,0.05,0,0,0.01,0.01,0
"Abudefduf.sexfasciatus",0.17,0.14,0,0,0,0,0,0.36,0.03,0.01,0.03,0.21,0.01,0,0.01,0.01,0.01
"Acanthurus.nigricans",0.37,0.05,0.01,0.01,0,0,0,0.13,0.15,0.06,0.01,0.02,0.06,0.01,0.02,0.05,0.05
"Acanthurus.nigricauda",0.09,0.2,0,0.01,0,0,0,0.14,0.05,0.01,0.06,0.28,0.02,0.02,0.01,0.01,0.09
"Acanthurus.nigroris",0.04,0.12,0,0.01,0,0,0,0.32,0.03,0.09,0.07,0.03,0.03,0.01,0.01,0.03,0.19
"Acanthurus.olivaceus",0.38,0.07,0.01,0.01,0,0,0,0.11,0.05,0.06,0.06,0.16,0.02,0.04,0.01,0.01,0.01
"Acanthurus.pyroferus",0.16,0.14,0.01,0,0,0,0,0.1,0.15,0.03,0.03,0.16,0.02,0.04,0.03,0.11,0.02
"Acanthurus.thompsoni",0.03,0.02,0,0,0,0,0,0.03,0.5,0.02,0.15,0.02,0.01,0,0.01,0.12,0.07
"Acanthurus.triostegus",0.47,0.22,0.01,0,0,0,0,0.04,0.1,0.01,0.01,0.08,0,0,0.01,0.02,0.02
"Amblygobius.nocturnus",0.05,0.47,0,0,0,0,0,0.06,0.27,0.01,0.04,0.01,0.01,0,0.01,0.01,0.07
"Anampses.caeruleopunctatus",0.15,0.06,0.01,0.01,0,0,0,0.19,0.09,0.16,0.04,0.04,0.05,0.02,0.02,0.01,0.15
"Anampses.twistii",0.39,0.18,0,0,0,0,0,0.02,0.05,0.09,0.02,0.03,0,0,0,0.11,0.08
"Aphareus.furca",0.45,0.04,0,0,0,0,0,0.1,0.22,0.07,0.01,0.03,0.01,0.01,0.02,0.03,0.01
"Asterropteryx.semipunctata",0.24,0.2,0.01,0,0,0,0.01,0.12,0.1,0.08,0.06,0.07,0.01,0.01,0.01,0.01,0.07
"Aulostomus.chinensis",0.17,0.19,0.01,0.01,0,0,0,0.1,0.11,0.04,0.01,0.03,0.01,0.03,0.04,0.07,0.18
"Balistoides.viridescens",0.18,0.15,0.01,0.02,0,0,0,0.26,0.05,0.04,0.01,0.05,0.01,0.01,0.03,0.02,0.15
"Bodianus.axillaris",0.03,0.38,0,0,0,0,0,0.22,0.03,0.01,0.12,0.04,0.01,0,0.01,0.14,0.01
"Calotomus.carolinus",0.07,0.04,0,0.02,0,0,0,0.31,0.03,0.06,0.01,0.04,0.01,0.03,0.03,0.05,0.28
"Canthigaster.bennetti",0.51,0.07,0.01,0,0.01,0,0,0.07,0.14,0.02,0.08,0.02,0.01,0.01,0.01,0.03,0.01
"Canthigaster.solandri",0.34,0.11,0.02,0.01,0.01,0,0,0.17,0.07,0.07,0.02,0.03,0.02,0.03,0.02,0.07,0.01
